iter	Passed	Remaining
0	50	14957
1	52	7871
2	55	5474
3	58	4356
4	61	3639
5	64	3155
6	67	2813
7	70	2572
8	73	2370
9	76	2209
10	79	2078
11	81	1964
12	84	1868
13	87	1784
14	90	1712
15	92	1646
16	95	1586
17	98	1535
18	101	1495
19	103	1455
20	106	1416
21	109	1380
22	112	1349
23	114	1318
24	117	1292
25	120	1265
26	124	1258
27	129	1253
28	133	1244
29	137	1234
30	140	1217
31	143	1199
32	146	1184
33	149	1169
34	152	1152
35	154	1136
36	157	1122
37	160	1109
38	163	1096
39	166	1082
40	169	1070
41	172	1058
42	175	1045
43	177	1035
44	180	1024
45	183	1014
46	186	1003
47	189	994
48	192	984
49	196	981
50	199	974
51	203	971
52	207	968
53	210	958
54	213	949
55	216	941
56	218	933
57	221	925
58	224	918
59	227	910
60	230	902
61	233	897
62	236	890
63	239	883
64	242	875
65	245	869
66	247	862
67	250	855
68	253	848
69	256	841
70	258	834
71	261	828
72	264	821
73	267	815
74	269	809
75	272	803
76	275	797
77	278	791
78	280	785
79	285	784
80	288	779
81	293	780
82	296	774
83	298	768
84	302	765
85	305	759
86	308	754
87	310	749
88	313	743
89	316	738
90	319	733
91	322	728
92	324	722
93	327	717
94	330	713
95	333	708
96	336	703
97	338	698
98	341	693
99	344	688
100	346	683
101	349	679
102	352	674
103	355	669
104	357	664
105	360	659
106	363	655
107	365	650
108	368	645
109	371	641
110	374	638
111	377	633
112	380	629
113	383	625
114	386	621
115	388	616
116	391	612
117	395	609
118	397	605
119	400	600
120	403	597
121	406	593
122	409	589
123	412	585
124	415	581
125	417	576
126	420	572
127	423	568
128	426	564
129	429	561
130	432	557
131	434	553
132	437	549
133	440	545
134	442	541
135	445	537
136	448	533
137	451	529
138	454	526
139	457	522
140	459	518
141	462	514
142	465	510
143	468	507
144	471	503
145	474	500
146	476	496
147	479	492
148	483	489
149	486	486
150	490	483
151	494	481
152	498	479
153	503	477
154	507	474
155	509	470
156	512	466
157	515	463
158	518	459
159	520	455
160	523	452
161	527	449
162	531	446
163	534	442
164	536	439
165	539	435
166	542	431
167	545	428
168	547	424
169	551	421
170	555	418
171	558	415
172	560	411
173	563	408
174	566	404
175	570	401
176	573	398
177	577	395
178	580	392
179	584	389
180	588	386
181	592	383
182	596	381
183	598	377
184	601	374
185	604	370
186	607	367
187	610	363
188	612	359
189	615	356
190	618	353
191	623	350
192	628	348
193	631	345
194	634	341
195	637	338
196	640	334
197	642	331
198	645	327
199	648	324
200	651	320
201	654	317
202	656	313
203	659	310
204	662	306
205	665	303
206	668	300
207	671	296
208	674	293
209	677	290
210	680	287
211	683	283
212	686	280
213	690	277
214	693	274
215	696	270
216	699	267
217	701	264
218	704	260
219	707	257
220	709	253
221	712	250
222	716	247
223	719	244
224	722	240
225	724	237
226	727	233
227	729	230
228	732	227
229	735	223
230	737	220
231	740	217
232	743	213
233	745	210
234	747	206
235	750	203
236	753	200
237	756	196
238	759	193
239	762	190
240	765	187
241	767	184
242	773	181
243	776	178
244	779	175
245	782	171
246	785	168
247	788	165
248	791	162
249	794	158
250	797	155
251	800	152
252	803	149
253	806	146
254	809	142
255	812	139
256	814	136
257	817	133
258	820	129
259	823	126
260	825	123
261	828	120
262	831	116
263	834	113
264	837	110
265	839	107
266	843	104
267	846	101
268	848	97
269	852	94
270	854	91
271	858	88
272	863	85
273	867	82
274	872	79
275	877	76
276	881	73
277	885	70
278	893	67
279	898	64
280	901	60
281	905	57
282	908	54
283	910	51
284	913	48
285	916	44
286	918	41
287	921	38
288	924	35
289	926	31
290	929	28
291	932	25
292	935	22
293	938	19
294	941	15
295	944	12
296	947	9
297	949	6
298	952	3
299	955	0
